ITSC_ID, G(x), G(y), G(z), G(calibrated),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(℃),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Intake Air Temperature(℃),Relative Throttle Position(%),Throttle Position(Manifold)(%),Timing Advance(°),ACC_Y(m/s^2),ACC_Z(m/s^2),ENV1,ENV2,ENV_SPEED_LIMIT(km/h),DELTA_THETA(°),ACC_X(m/s),Speed (OBD)(km/h)
5,0.4486171,9.34342003,3.88576961,0.05153447,59.60784531,0.03721271,23.52941132,38.03921509,14.21369839,85,70.58823395,47.45098114,2528,45,8.62745094,25.09803963,31.5,0.0281,9.26,15.58001,-0.128,25,-0.272,0,34
5,0.08532257,9.11334896,4.00537062,0.03378779,58.4313736,0.03124636,22.74509811,37.25490189,14.06866074,85,70.58823395,36.86274338,2528,45,7.84313726,24.70588303,31.5,-0.791,9.31,2.4642,0.00454,25,-0.82,2.78,34
5,0.08277787,9.19178581,4.21718025,0.04992515,56.47058868,0.03127739,22.74509811,37.25490189,14.06866074,85,63.92156982,36.86274338,2721,45,6.27450991,23.13725471,39.5,0.0279,9.22,0,-0.0396,25,0.819,1.11,39
5,0.09280701,8.91845417,4.76384354,0.04972988,56.47058868,0.02449712,21.56862831,36.07843018,14.06866074,85,39.60784531,28.62745094,2810.75,45,6.27450991,23.13725471,21,-0.246,9.12,0.12321,0.0266,25,-0.274,0,41
5,0.15867004,8.9446497,4.92026806,0.05975908,48.62745285,0.04111463,15.68627453,32.54901886,14.06866074,85,39.60784531,10.1960783,1867,45,0,16.47058868,21,0.167,9.26,2.4642,0.00454,25,0.413,0,41
5,0.23306534,9.23070431,4.22556305,0.05412585,56.47058868,0.02622396,21.56862831,32.54901886,14.21369839,85,32.54901886,10.1960783,1867,45,5.88235283,25.88235283,9.5,0.0281,9.22,20.736,0.0928,25,-0.139,1.11,41
5,0.17438737,9.21319103,4.5911026,0.0684616,56.47058868,0.0498201,21.56862831,36.07843018,14.21369839,85,59.2156868,34.90196228,2200,45,5.88235283,25.88235283,32.5,0.577,9.12,414.72,0.358,25,0.549,0,43
5,0.1511856,8.81651592,4.58062458,0.03190476,54.11764908,0.02954515,20.7843132,34.90196228,14.21369839,85,59.2156868,29.01960754,2200,45,4.70588255,21.56862831,32.5,2.25,9.76,0.27889,0.136,25,1.67,-14.4,43
6,0.03682343,9.59280205,3.60989308,0.06381255,60.7843132,0.0451695,25.09803963,39.60784531,14.21369839,86,71.76470947,53.72549057,2466.25,45,9.01960754,19.6078434,30,0.798,9.44,6.35064,0.136,25,2.36,0,17
6,0.22408402,8.65470219,4.59604263,0.01817662,48.62745285,0.03809408,15.68627453,30.98039246,14.21369839,86,71.76470947,7.45098019,2304.5,45,1.17647064,19.6078434,30,0.825,9.53,15.4568,0.216,25,0.0272,1.67,17
6,-0.30820906,8.85887814,4.76668739,0.04495233,54.50980377,0.03045093,15.68627453,30.98039246,14.06866074,86,24.31372643,7.45098019,2304.5,45,4.31372547,19.6078434,36,1.3,9.61,0.12321,0.0561,25,0.472,2.78,20
6,0.58677977,10.71172523,4.9153285,0.2218793,54.50980377,0.20280223,21.56862831,36.47058868,14.06866074,86,61.17647171,45.88235474,1736.5,45,4.31372547,19.6078434,30.5,0.334,9.41,2.58741,0.216,25,-0.963,0,25
6,0.67614394,9.42739582,4.25100994,0.07543141,55.29411697,0.06458589,21.96078491,34.90196228,14.06866074,86,61.17647171,27.05882263,1736.5,45,5.88235283,21.96078491,30.5,1.31,9.46,2.4642,0.136,25,0.98,1.11,25
6,0.12424164,9.37934589,3.80463815,0.05084425,55.29411697,0.04720297,21.96078491,34.90196228,14.06866074,86,64.31372833,27.05882263,1866.25,45,7.45098066,22.74509811,30,0.823,9.45,0.12321,0.136,25,-0.491,1.11,27
6,0.17304017,9.30435181,3.6301012,0.03723854,59.2156868,0.03861957,23.52941132,38.03921509,14.06866074,86,77.64705658,47.84313583,2055.25,45,7.45098066,22.74509811,30,0.824,9.38,2.4642,0.0561,25,0.00117,0,29
6,0.14639556,9.35344982,3.92603588,0.05315477,58.03921509,0.03450805,23.13725471,37.64706039,14.06866074,86,77.64705658,47.84313583,2055.25,45,7.05882359,23.13725471,25.5,0.342,9.3,0.77284,0.136,25,-0.482,1.11,29
6,0.24893235,9.16229725,3.93441844,0.03576165,58.03921509,0.03343749,23.13725471,37.64706039,14.06866074,86,70.19608307,44.31372452,2292.75,45,7.05882359,23.52941132,30,0.837,9.17,15.58001,-0.0238,25,0.495,0,31
6,0.28021729,9.28489208,4.08814859,0.07606345,57.25490189,0.05742456,23.13725471,37.25490189,14.06866074,86,70.19608307,42.35293961,2447.5,45,6.66666698,23.52941132,30,-0.149,9.18,2.4642,-0.0238,25,-0.986,2.78,31
6,0.06571335,9.18490028,4.22915554,0.04978448,56.86274719,0.0350123,22.74509811,37.25490189,14.06866074,86,67.05882263,42.35293961,2447.5,45,6.66666698,22.74509811,35.5,-0.149,9.41,0,-0.0238,25,0.000217,1.11,36
